city,lat,lng,country,iso2,admin_name
Djibouti,11.5883,43.145,Djibouti,DJ,Djibouti
Arta,11.5236,42.8472,Djibouti,DJ,Arta
Ali Sabieh,11.15,42.7167,Djibouti,DJ,Ali Sabieh
Dikhil,11.1167,42.3667,Djibouti,DJ,Dikhil
Obock,11.9667,43.2833,Djibouti,DJ,Obock
Yoboki,11.5167,42.1,Djibouti,DJ,Dikhil
Tadjourah,11.7833,42.8833,Djibouti,DJ,Tadjourah
‘Ali ‘Addé,11.1306,42.8933,Djibouti,DJ,Ali Sabieh
Holhol,11.3097,42.9292,Djibouti,DJ,Ali Sabieh
Goubétto,11.4217,42.9992,Djibouti,DJ,Ali Sabieh
Loyada,11.4667,43.25,Djibouti,DJ,Arta
Ḏânan,11.2167,42.9833,Djibouti,DJ,Ali Sabieh
Ambouli,11.59,43.1225,Djibouti,DJ,Djibouti
Deda’-etu,12.3752,42.7112,Djibouti,DJ,Obock
Goubéto,11.4167,42.9833,Djibouti,DJ,Ali Sabieh
Ḏigri,11.2975,42.8533,Djibouti,DJ,Ali Sabieh
Vasama,10.9891,42.8412,Djibouti,DJ,Ali Sabieh
Ouê‘a,11.5031,42.8553,Djibouti,DJ,Arta
